Workplace Example,Element Name,Hot Technology,In Demand
Scientific Software Group WinTran,Analytical or scientific software,N,N
Scientific Software GroupWHI UnSAT Suite,Data base user interface and query software,N,N
Scientific Software GroupWinFence,Analytical or scientific software,N,N
Scientific Software International BILOG-MG,Analytical or scientific software,N,N
Scientific Software International HLM,Analytical or scientific software,N,N
Scientific Software International LISREL,Analytical or scientific software,N,N
Scientific Software International MULTILOG,Analytical or scientific software,N,N
Scientific Software International PARSCALE,Analytical or scientific software,N,N
Scientific Software International SSI Hierarchical Linear and Non-Linear Modeling HLM,Analytical or scientific software,N,N
Scientific Software International SSI LISREL,Analytical or scientific software,N,N
Scientific Software International TESTFACT,Analytical or scientific software,N,N
Scientific analysis software,Analytical or scientific software,N,N
Sciforma,Project management software,N,N
Scikit-learn,Development environment software,N,Y
Scott Systems MaxxTraxx Pro,Facilities management software,N,N
Screaming Frog SEO Spider,Web platform development software,N,Y
Screen magnification software,Device drivers or system software,N,N
Screen reader software,Device drivers or system software,N,N
Screencast-O-Matic,Video creation and editing software,N,N
Screencastify,Video creation and editing software,N,N
Scribus,Desktop publishing software,N,N
ScriptPerfection Power Writer,Word processing software,N,N
Scriptella,Metadata management software,N,N
Scripting software,Word processing software,N,N
SeaMonkey,Internet browser software,N,N
Seacoast Laboratory Data Systems SurroundLab AR,Accounting software,N,N
Seacoast Laboratory Data Systems SurroundLab Plus,Medical software,N,N
Search engine marketing SEM software,Sales and marketing software,N,N
Search engine optimization SEO software,Business intelligence and data analysis software,N,N
Search engine results pages SERP software,Data base user interface and query software,N,N
Searchable online catalogs,Information retrieval or search software,N,N
Searchmetrics Suite,Business intelligence and data analysis software,N,N
Seasafe Marine Software Seasafe,Analytical or scientific software,N,N
Seasia Consulting School Wizard,Enterprise resource planning ERP software,N,N
Seattle Systems Shapemaker,Computer aided design CAD software,N,N
Seaworthy Systems Shipboard Automated Maintenance Management SAMM,Facilities management software,N,N
Seco Tools Seco Point,Inventory management software,N,N
Second Foundation NaviMeat,Enterprise resource planning ERP software,N,N
Secure internet filtering software,Transaction security and virus protection software,N,N
Secure shell SSH software,Desktop communications software,N,N
Secure web gateway software,Gateway software,N,N
Securities analysis software,Financial analysis software,N,N
Security assertion markup language SAML,Web platform development software,N,N
Security incident management software,Network security or virtual private network VPN management software,N,N
Security risk assessment software,Transaction security and virus protection software,N,N
Security testing software,Program testing software,N,N
SeeByte SeeTrack,Analytical or scientific software,N,N
SeeRite Flash and Match,Computer based training software,N,N
Seeing Machines faceLAB,Graphical user interface development software,N,N
Seesaw,Multi-media educational software,N,N
Segue SilkPerformer,Program testing software,N,N
Seimens Healthineers,Medical software,N,N
Seismic Micro-Technology KINGDOM,Analytical or scientific software,N,N
Seismic interpretation software,Analytical or scientific software,N,N
Seismic visualization software,Analytical or scientific software,N,N
Selectica Contract Performance Management,Data base user interface and query software,N,N
Selenium,Program testing software,Y,N
Semichem AMPAC,Analytical or scientific software,N,N
Semicron Systems,Point of sale POS software,N,N
Semrush,Web platform development software,N,Y
SendGrid,Electronic mail software,N,N
Sendouts Recruiting,Human resources software,N,N
Sensory Computer Systems SIMS,Analytical or scientific software,N,N
Sentai Pinpoint,Inventory management software,N,N
Sentient Online MarketPrice,Human resources software,N,N
SentryOne SQL Sentry,Data base management system software,N,N
Sequence database software,Data base user interface and query software,N,N
SequentiX TreeMe,Analytical or scientific software,N,N
Serenic Navigator CommunityCare,Medical software,N,N
Serenity Software Editor,Word processing software,N,N
Serif DrawPlus,Graphics or photo imaging software,N,N
Serif PagePlus,Desktop publishing software,N,N
ServiceMax,Data base user interface and query software,N,N
ServiceNow,Data base user interface and query software,Y,Y
Session Initiation Protocol SIP,Internet protocol IP multimedia subsystem software,N,N
Shafer Service Systems,Data base user interface and query software,N,N
Shape software,Analytical or scientific software,N,N
SharedPlan Software SharedPlan Pro,Project management software,N,N
Sharetech Tabs Plus,Time accounting software,N,N
SharpCam Ltd. SharpCam,Computer aided manufacturing CAM software,N,N
Shell script,Operating system software,Y,N
Shilstone seeMIX,Analytical or scientific software,N,N
Shiny,Object or component oriented development software,N,N
ShipConstructor,Computer aided design CAD software,N,N
ShipWorks,Materials requirements planning logistics and supply chain software,N,N
Shipment processing software,Mailing and shipping software,N,N
Shipping Solutions,Compliance software,N,N
Shipping and freight management software,Materials requirements planning logistics and supply chain software,N,N
Shipping software,Materials requirements planning logistics and supply chain software,N,N
ShootQ photography studio management software,Data base user interface and query software,N,N
ShootZilla,Data base user interface and query software,N,N
Shop management software,Facilities management software,N,N
Shopify software,Point of sale POS software,N,Y
ShoreTel,Communications server software,N,N
Shortcuts Software Shortcuts Spa,Data base user interface and query software,N,N
Showing Suite HomeFeedback,Data base user interface and query software,N,N
Showing Suite HomeFollowup,Data base user interface and query software,N,N
Showing Suite Showing Calendar,Calendar and scheduling software,N,N
Showing Suite real estate software,Data base user interface and query software,N,N
Shrodinger Jaguar,Analytical or scientific software,N,N
SiSense Prism,Data base reporting software,N,N
Side Effects Houdini,Video creation and editing software,N,N
Side Effects Software Houdini,Graphics or photo imaging software,N,N
SideFX Houdini,Graphics or photo imaging software,N,Y
Siemens APOGEE Building Automation Software,Industrial control software,N,N
Siemens Energy and Automation,Industrial control software,N,N
Siemens Hearing Instruments Practice Navigator,Medical software,N,N
Siemens ModelSim,Analytical or scientific software,N,N
Siemens NOVIUS Lab,Medical software,N,N
Siemens NX,Computer aided manufacturing CAM software,N,N
Siemens PLM software,Analytical or scientific software,N,N
Siemens PSS Product Suite,Analytical or scientific software,N,N
Siemens Patient Identification Check,Medical software,N,N
Siemens Power Plant Automation SPPA,Industrial control software,N,N
Siemens SHELXTL,Analytical or scientific software,N,N
Siemens SIENET Sky,Medical software,N,N
Siemens SIMATIC HMI,Industrial control software,N,N
Siemens SIMATIC STEP 7,Industrial control software,N,N
Siemens SIMATIC WinCC,Industrial control software,N,N
Siemens SINUMERIK CNC,Industrial control software,N,N
Siemens Soarian Financials,Accounting software,N,N
Siemens Soarian Scheduling,Calendar and scheduling software,N,N
Siemens Solid Edge,Computer aided design CAD software,N,N
Siemens Spectrum Power TG,Industrial control software,N,N
Siemens Spectrum PowerCC Distribution Management,Industrial control software,N,N
Siemens Teamcenter,Project management software,N,N
Siemens Teleperm,Industrial control software,N,N
Siemens UGS Jack,Analytical or scientific software,N,N
Siemens UGS NX,Computer aided design CAD software,N,N
Sierra Scientific Software CRIS,Data base user interface and query software,N,N
SigmaTEK SigmaNEST,Computer aided manufacturing CAM software,N,N
Sigmetrix CETOL 6 Sigma,Analytical or scientific software,N,N
Sigmund Software Sigmund Enterprise Management,Medical software,N,N
SignCAD Systems SignCAD,Computer aided design CAD software,N,N
Signal analysis software,Analytical or scientific software,N,N
Signal detection software,Analytical or scientific software,N,N
Signal integrity simulation software,Analytical or scientific software,N,N
Signal synthesizers,Analytical or scientific software,N,N
Signet Nobeltec Catch,Map creation software,N,N
Silk Road technology OpenHire,Human resources software,N,N
Silver Peak,Network operating system enhancement software,N,N
Silverbyte Systems Optima Property Management System PMS,Facilities management software,N,N
SimWindows,Analytical or scientific software,N,N
Simple API for XML SAX,Object or component oriented development software,N,N
Simple DirectMedia Layer SDL,Development environment software,N,N
Simple Model of the Atmospheric Radiative Transfer of Sunshine SMARTS,Analytical or scientific software,N,N
Simple mail transfer protocol SMTP,Operating system software,N,N
Simple network management protocol SNMP software,Administration software,N,N
SimpleClinic Practice Management software,Medical software,N,N
Simplifi pixifi,Data base user interface and query software,N,N
Simply Hearing Software Simply Hearing OMS,Medical software,N,N
Simply Studio System,Data base user interface and query software,N,N
Simsol for Adjusters,Financial analysis software,N,N
Simulation and modeling software,Analytical or scientific software,N,N
Simulation of fires in enclosures SOFIE software,Analytical or scientific software,N,N
Simulation program with integrated circuit emphasis SPICE,Analytical or scientific software,N,N
Simulation software,Analytical or scientific software,N,N
Simultaneous location and mapping SLAM,Analytical or scientific software,N,N
Single sign-on SSO,Authentication server software,N,N
Sirona SIDEXIS XG,Graphics or photo imaging software,N,N
SirsiDynix Symphony,Library software,N,N
Sirus GT Construction Accounting,Accounting software,N,N
Site Manager,Document management software,N,N
Site mapping software,Map creation software,N,N
Site remediation management software,Analytical or scientific software,N,N
SiteComp Survey,Map creation software,N,N
SiteMaster SiteSmart,Data base user interface and query software,N,N
Sitecore CMS,Content workflow software,N,N
Situation resource tracking software,Mobile location based services software,N,N
Skencil,Graphics or photo imaging software,N,N
SkillSoft SkillPort,Computer based training software,N,N
SkillTRAN Job Browser Pro,Data base user interface and query software,N,N
SkillTRAN OASYS,Data base user interface and query software,N,N
Skylog Services Skylog Pro,Data base user interface and query software,N,N
Skype,Desktop communications software,N,N
Skyscape 5-Minute Clinical Consult,Medical software,N,N
Skyscape AnesthesiaDrugs,Medical software,N,N
Skyscape Rosen and Barkin's 5-Minute Emergency Medicine Consult,Information retrieval or search software,N,N
Skyscape medical software,Information retrieval or search software,N,N
Skyward School Management System,Enterprise resource planning ERP software,N,N
Skywire Software InsBridge,Enterprise resource planning ERP software,N,N
Skywire Software Policyware,Enterprise resource planning ERP software,N,N
Slack,Cloud-based data access and sharing software,Y,N
Sleep analysis software,Medical software,N,N
Slido interaction software,Network conferencing software,N,N
Small Business Computers of New England AP Easy,Medical software,N,N
Smalltalk,Object or component oriented development software,N,N
Smart Data Solutions RS Solutions,Data base user interface and query software,N,N
Smart Digital Holter Monitor,Medical software,N,N
Smart Equipment Repair,Data base user interface and query software,N,N
Smart Link Corporation ImTranslator,Foreign language software,N,N
Smart Solutions IEP Anywhere,Data base user interface and query software,N,N
Smart card management software,Point of sale POS software,N,N
SmartBear Software Automated Build Studio,Development environment software,N,N
SmartBear Software AutomatedQA TestComplete,Program testing software,N,N
SmartCAMcnc SmartCAM,Computer aided design CAD software,N,N
SmartDraw,Process mapping and design software,N,N
SmartDraw Legal,Graphics or photo imaging software,N,N
SmartDraw VP,Charting software,N,N
Smartsheet,Project management software,N,N
SmithMicro Anime Studio,Graphics or photo imaging software,N,N
SmithMicro Manga Studio,Graphics or photo imaging software,N,N
SmithMicro SoftwarePoser,Graphics or photo imaging software,N,N
Smithsonian Institution digital archives,Information retrieval or search software,N,N
SmugMug Flickr,Graphics or photo imaging software,N,N
Snakemake,Analytical or scientific software,N,Y
Snap Survey Software,Data base user interface and query software,N,N
Snap-On ShopKey,Facilities management software,N,N
Snapchat,Instant messaging software,N,N
Sneakers Software DVMax Practice,Medical software,N,N
Sniffer Investigator,Network monitoring software,N,N
Snorasson Holdings CCNow,Point of sale POS software,N,N
Snort,Network monitoring software,N,N
Snowflake,Data mining software,Y,Y
Snugg Home Snugg Pro,Analytical or scientific software,N,N
Social Solutions ETO,Data base user interface and query software,N,N
Social Work Software ClientTouch,Medical software,N,N
Social computing tools,Web page creation and editing software,N,N
Social media sites,Web page creation and editing software,N,N
Social media software,Web page creation and editing software,N,N
Social network analysis software,Analytical or scientific software,N,N
Social networking platforms,Web page creation and editing software,N,N
Social networking software,Web page creation and editing software,N,N
Social studies educational software,Computer based training software,N,N
Socorro Scientific Software Refract2K,Analytical or scientific software,N,N
Socrates Contractor's Library,Word processing software,N,N
SofTech CADRA,Computer aided design CAD software,N,N
Soffront CRM Portal,Customer relationship management CRM software,N,N
Soft Essentials Vending Essentials,Data base user interface and query software,N,N
Soft Servo Systems LadderWorks PLC,Industrial control software,N,N
Soft Trac Microix Timesheet,Time accounting software,N,N
SoftBrands Fourth Shift Edition,Enterprise resource planning ERP software,N,N
SoftCafe MenuPro,Desktop publishing software,N,N
SoftCafe ScheduleWriter,Human resources software,N,N
SoftCare CenterCare,Enterprise resource planning ERP software,N,N
SoftChalk LessonBuilder,Computer based training software,N,N
SoftEmpire Electrical Calculations,Analytical or scientific software,N,N
SoftICE,Analytical or scientific software,N,N
SoftLab PHEdesign,Analytical or scientific software,N,N
SoftMed ChartLocater,Document management software,N,N
SoftMed ChartRelease,Data base reporting software,N,N
SoftMed ChartReserve,Document management software,N,N
SoftPro real estate closing and title software,Project management software,N,N
SoftPsych Psychiatric Diagnosis,Medical software,N,N
SoftRisk Technologies SoftRisk SQL,Data base user interface and query software,N,N
SoftSource CADview,Computer aided design CAD software,N,N
SoftZymics VisualEnzymics,Analytical or scientific software,N,N
SofterWare DonorPerfect,Customer relationship management CRM software,N,N
SofterWare EZ-CARE2,Enterprise resource planning ERP software,N,N
Softimage Extreme,Graphics or photo imaging software,N,N
Softpedia ShopInvo,Point of sale POS software,N,N
Softphone software,Helpdesk or call center software,N,N
Softrail AEI Automatic Yard Tracking System,Industrial control software,N,N
Softrail AEI Rail & Road Manager,Inventory management software,N,N
Softrax Revenue Management,Accounting software,N,N
Softree Technical Systems Terrain Tools,Data base user interface and query software,N,N
Softrip Travel Software System,Customer relationship management CRM software,N,N
Softstar Costar COCOMO II,Financial analysis software,N,N
Softtruck CargoWiz,Materials requirements planning logistics and supply chain software,N,N
Software AG Underwriting Solution,Financial analysis software,N,N
Software AG enterprise software,Data base reporting software,N,N
Software Bisque CCDSoft,Analytical or scientific software,N,N
Software Design Associates Computer Fencing System CFS,Project management software,N,N
Software Motif MyEMR,Medical software,N,N
Software Technology PracticeMaster,Customer relationship management CRM software,N,N
Software Technology Tabs3,Accounting software,N,N
Software as a service SaaS,Cloud-based data access and sharing software,N,N
Software asset management SAM software,Data base user interface and query software,N,N
Software development tools,Development environment software,N,N
Software distribution management software,Administration software,N,N
Software distribution software,Configuration management software,N,N
Software libraries,Development environment software,N,N
Software on Sailboats Desktop Sales Manager,Customer relationship management CRM software,N,N
Softworks Global PESoftOne,Computer based training software,N,N
Softworx Solutions ChiroWrite,Medical software,N,N
Soil Survey Geographic SSURGO,Data base user interface and query software,N,N
Soil information databases,Data base user interface and query software,N,N
Soil mapping software,Map creation software,N,N
SoilVision Systems SVGrainsize,Analytical or scientific software,N,N
SoilVision Systems SVOFFICE,Data base user interface and query software,N,N
Sokkia Imap,Map creation software,N,N
Sokkia Spectrum Survey Suite,Analytical or scientific software,N,N
SolTrace,Analytical or scientific software,N,N
Solar Advisor Model,Analytical or scientific software,N,N
Solar analysis software,Analytical or scientific software,N,N
Solar and Wind Energy Resource Assessment SWERA,Analytical or scientific software,N,N
SolarWinds,Cloud-based protection or security software,N,N
Solera Audatex Estimating,Project management software,N,N
SolidCAM CAM software,Computer aided design CAD software,N,N
SolidCAM iMachining,Computer aided manufacturing CAM software,N,N
SolidWorks COSMOSWorks,Computer aided design CAD software,N,N
SolidWorks Enterprise PDM,Project management software,N,N
Solidity,Development environment software,N,Y
Solution Specialties TRACKER,Data base user interface and query software,N,N
Solutions Technology & Software HR Premier,Financial analysis software,N,N
Solutions by Design ScreenPlay,Medical software,N,N
Solvcalv,Analytical or scientific software,N,N
Somat eDAQ,Analytical or scientific software,N,N
Sona Systems Experiment Management System,Project management software,N,N
SonarQube,Program testing software,N,N
Sonic Studio audio software,Music or sound editing software,N,N
Sonicwall SonicOS Enhanced,Network security or virtual private network VPN management software,N,N
Sonoma Wire Works RiffWorks,Music or sound editing software,N,N
Sony Creative Software Vegas Movie Studio,Video creation and editing software,N,N
Sony Sound Forge,Music or sound editing software,N,N
Sorenson Media Sorenson Squeeze,Video creation and editing software,N,N
Sortation software,Industrial control software,N,N
Sound development software,Video creation and editing software,N,N
Sound pressure analysis equipment,Analytical or scientific software,N,N
SoundPLAN,Analytical or scientific software,N,N
Source code editor software,Program testing software,N,N
Source code management SCM software,Development environment software,N,N
Source code migration software,Development environment software,N,N
Sourcing Simulator,Procurement software,N,N
Southern Data Systems TellerPro,Accounting software,N,N
Southwest Research Institute NASGRO,Analytical or scientific software,N,N
SpED Forms,Data base user interface and query software,N,N
Spa management software,Data base user interface and query software,N,N
SpaGuru,Data base user interface and query software,N,N
Sparta Systems TrackWise,Compliance software,N,N
SpartaTrac,Medical software,N,N
Spatial Analysis and Decision Assistance SADA,Analytical or scientific software,N,N
Spatial decision support systems SDSS software,Map creation software,N,N
Special Agent,Enterprise resource planning ERP software,N,N
Special Education Student Information System SESIS,Data base user interface and query software,N,N
Special education educational software,Computer based training software,N,N
Specialist Data Solutions OctoPlus,Medical software,N,N
Specialized Business Solutions Keystroke POS,Point of sale POS software,N,N
Specialized Data Systems School Office,Enterprise resource planning ERP software,N,N
Specialized Data Systems Ultra Farm,Accounting software,N,N
Specification software,Word processing software,N,N
Specimen labeling system software,Label making software,N,N
Specimen tracking software,Medical software,N,N
SpecsInTact,Project management software,N,N
SpectraMedi EasyFlow,Medical software,N,N
SpectraQuest,Computer aided design CAD software,N,N
SpectraSoft AppointmentsCS,Calendar and scheduling software,N,N
SpectraSoft AppointmentsPRO,Calendar and scheduling software,N,N
SpectraSoft DocuPRO,Medical software,N,N
Spectral Dynamics STAR,Analytical or scientific software,N,N
Spectral Dynamics Star Acoustics,Analytical or scientific software,N,N
Spectral Dynamics Star Modal,Analytical or scientific software,N,N
Spectrophotometer analysis software,Analytical or scientific software,N,N
Spectroscopy databases,Data base user interface and query software,N,N
Spectroscopy software,Analytical or scientific software,N,N
Spectrum K12 School Solutions Encore,Data base user interface and query software,N,N
Spectrum Software Micro-Cap,Analytical or scientific software,N,N
Speech analysis software,Analytical or scientific software,N,N
Speech recognition software,Voice recognition software,N,N
SpeedType,Word processing software,N,N
SpeedUp Trans,Word processing software,N,N
Speediware SpeedEEO,Human resources software,N,N
Spellex AccuCount,Spell checkers,N,N
Spelling and grammar checking software,Spell checkers,N,N
Spillman Technologies Records Management,Data base user interface and query software,N,N
Spillman Technologies Spillman Computer-Aided Dispatch,Helpdesk or call center software,N,N
SpiritWorks Software Development Rental Property Tracker Plus,Data base user interface and query software,N,N
Splunk Enterprise,Cloud-based management software,Y,N
SplutterFish Brazil,Graphics or photo imaging software,N,N
SportSoft Equipment Manager,Inventory management software,N,N
Spreadsheet applications,Spreadsheet software,N,N
Spreadsheet programs,Spreadsheet software,N,N
Spreadware Business Financial Analysis,Financial analysis software,N,N
Spreadware Business Valuator,Financial analysis software,N,N
Spreadware Pro Forma,Financial analysis software,N,N
Spring Boot,Application server software,Y,N
Spring Framework,Web platform development software,Y,N
Springshare LibGuides,Web platform development software,N,Y
Sprut Technology SprutCAM,Computer aided manufacturing CAM software,N,N
Square,Point of sale POS software,N,N
Squeegee,Cloud-based data access and sharing software,N,N
St. Paul Travelers e-CARMA,Data base user interface and query software,N,N
Stac Software ReachOut,Desktop communications software,N,N
Stack smashing protection SSP software,Transaction security and virus protection software,N,N
Staff scheduling software,Calendar and scheduling software,N,N
Staffing Solutions Enterprises Staff Matrix,Human resources software,N,N
StaffingSoft Staffing Edition,Human resources software,N,N
Stamps.com software,Data base user interface and query software,N,N
Standard & Poor's Capital IQ Compustat,Information retrieval or search software,N,N
Standard Installation and Division Personnel Reporting System SIDPERS,Human resources software,N,N
Standard generalized markup language SGML,Development environment software,N,N
Standardized general markup language SGML,Development environment software,N,N
Standpipe Studios Vertabase,Project management software,N,N
Stanford Business Software MINOS,Analytical or scientific software,N,N
Stanford Business Software SNOPT,Analytical or scientific software,N,N
Star Software Fixed Asset Depreciation,Financial analysis software,N,N
Star Software Materiality Calculator,Financial analysis software,N,N
Star Tec Software Hercules Export,Materials requirements planning logistics and supply chain software,N,N
StarData,Analytical or scientific software,N,N
Starcal,Analytical or scientific software,N,N
Starkey Laboratories ProHear,Medical software,N,N
Starpint Software Super Slug,Analytical or scientific software,N,N
Starre Enterprises Star Bill of Lading,Materials requirements planning logistics and supply chain software,N,N
StartingAClothingLine.com Digital Fashion Pro,Computer aided design CAD software,N,N
Stat-Ease Design-Ease,Analytical or scientific software,N,N
Stat-Ease Design-Expert,Analytical or scientific software,N,N
StatCoder.com STAT E&M Coder,Medical software,N,N
StatCom Patient Flow Logistics Enterprise Suite,Medical software,N,N
StatPac,Analytical or scientific software,N,N
StatPoint STATGRAPHICS Centurion,Analytical or scientific software,N,N
StatPoint StatGraphics Plus,Graphics or photo imaging software,N,N
StataCorp Stata,Analytical or scientific software,N,N
State Soil Geographic STATSGO Database,Data base user interface and query software,N,N
State crime information databases,Data base user interface and query software,N,N
State diagram software,Computer aided design CAD software,N,N
Statgraphics,Analytical or scientific software,N,N
Static Free Software Electric VLSI Design System,Computer aided design CAD software,N,N
Static analysis software,Program testing software,N,N
Static strength prediction software,Analytical or scientific software,N,N
Statistical Solutions BMDP,Analytical or scientific software,N,N
Statistical Solutions SOLAS,Analytical or scientific software,N,N
Statistical analysis software,Analytical or scientific software,N,N
Statistical energy analysis SEA software,Analytical or scientific software,N,N
Statistical process control SPC data collection devices,Industrial control software,N,N
Statistical process control SPC software,Industrial control software,N,N
Statistical processing software,Analytical or scientific software,N,N
Statistical software,Analytical or scientific software,N,N
Statistics databases,Data base user interface and query software,N,N
Statistics software,Analytical or scientific software,N,N
Steam System Tool Suite,Analytical or scientific software,N,N
Steele Mutual Fund and Variable Annuity Expert,Financial analysis software,N,N
Steinberg Cubase Pro,Music or sound editing software,N,N
Stellar Processes EZ Sim,Analytical or scientific software,N,N
Stenco Technologies Farm Trends,Data base user interface and query software,N,N
Stenograph Case CATalyst,Word processing software,N,N
Stenovations Digital CAT,Word processing software,N,N
Stereolithography SLA rapid prototyping systems,Computer aided manufacturing CAM software,N,N
Steroplotter software,Graphics or photo imaging software,N,N
Stewart Computational Chemistry MOPAC,Analytical or scientific software,N,N
Stochastic modeling software,Analytical or scientific software,N,N
Storage area network SAN software,Storage networking software,N,N
Storage management software,Storage networking software,N,N
Storm Music Studio,Music or sound editing software,N,N
Stormdance CatsCradle,Foreign language software,N,N
Stormwater hydrology software,Computer aided design CAD software,N,N
Stormwater runoff modeling software,Analytical or scientific software,N,N
Storymind StoryWeaver,Word processing software,N,N
StrainSim,Analytical or scientific software,N,N
Strand7,Analytical or scientific software,N,N
Strat-Tech Deer Hunting Expert,Analytical or scientific software,N,N
StrataCare StrataWare eReview,Expert system software,N,N
Stratasys FDM MedModeler,Analytical or scientific software,N,N
Strategic BCP ResilienceONE,Enterprise resource planning ERP software,N,N
Strategic Business Systems Proof of Delivery,Materials requirements planning logistics and supply chain software,N,N
Strategic Reporting Systems ReportSmith,Data base reporting software,N,N
Stratford Group INMASS/MRP,Materials requirements planning logistics and supply chain software,N,N
Stratitec TimeIPS,Compliance software,N,N
Street address databases,Data base user interface and query software,N,N
Stress analysis software,Analytical or scientific software,N,N
Stress testing software,Program testing software,N,N
Striker Systems SS-Die Design,Computer aided design CAD software,N,N
Striker Systems SS-Draw Form,Computer aided design CAD software,N,N
Striker Systems SS-Profile,Computer aided manufacturing CAM software,N,N
Striker Systems SS-Punch,Computer aided manufacturing CAM software,N,N
Striker Systems SS-Strip Design,Computer aided design CAD software,N,N
String oriented symbolic language SNOBOL,Development environment software,N,N
Stromberg Enterprise,Time accounting software,N,N
Strong Concepts TEAPAC,Analytical or scientific software,N,N
Stroud & Associates Employee Benefits Administration System,Human resources software,N,N
Structural Dynamics StruCAD*3D,Computer aided design CAD software,N,N
Structure prediction software,Analytical or scientific software,N,N
Structure query language SQL,Data base user interface and query software,N,N
Structured Query Report SQR,Data base management system software,N,N
Structured data entry software,Data base user interface and query software,N,N
Structured query language SQL,Data base user interface and query software,Y,N
Student and Exchange Visitor Information System SEVIS,Data base user interface and query software,N,N
Student information systems SIS software,Data base user interface and query software,N,Y
Student record software,Data base user interface and query software,N,N
Studio of Analytical Models STANMOD,Analytical or scientific software,N,N
StudioCloud,Data base user interface and query software,N,N
StudioPlus Spectra,Data base user interface and query software,N,N
StudyManager Sponsor Edition,Data base user interface and query software,N,N
Style guide databases,Data base user interface and query software,N,N
Stylite eGroupWare,Project management software,N,N
Substance Flow Analysis STAN,Analytical or scientific software,N,N
Substation automation system software,Industrial control software,N,N
Substation monitoring system software,Industrial control software,N,N
SuccessWare service management software,Data base user interface and query software,N,N
Suddenly Smart SmartBuilder,Computer based training software,N,N
Sugar CRM,Customer relationship management CRM software,N,N
SugarCRM Sugar UX,Customer relationship management CRM software,N,N
SugarSync,Backup or archival software,N,N
SumQuest,Analytical or scientific software,N,N
SumTime Software SumTime,Medical software,N,N
SumTotal Systems ToolBook,Computer based training software,N,N
SumTotal Systems TotalLMS,Computer based training software,N,N
Summary Systems Fleet Commander,Materials requirements planning logistics and supply chain software,N,N
Summation Blaze,Document management software,N,N
Summit Ordering Systems RvInvoiceWriter,Point of sale POS software,N,N
Summit Software CarePoint,Medical software,N,N
Summit Software Summit Biofuels Accounting,Accounting software,N,N
Sun Microsystems Cobalt,Graphics or photo imaging software,N,N
Sun Microsystems Java,Object or component oriented development software,N,N
Sun Microsystems Java Persistence API,Object or component oriented development software,N,N
Sun Microsystems Java Servlet API,Object or component oriented development software,N,N
Sun Microsystems Sun ONE,Transaction server software,N,N
Sun Nuclear MapCHECK,Medical software,N,N
SunGard BancWare,Financial analysis software,N,N
SunGard Financial Systems AddVantage,Financial analysis software,N,N
SunGard Frontier,Financial analysis software,N,N
SunGard Higher Education Banner Financial Aid,Data base user interface and query software,N,N
SunGard Higher Education Banner Unified Digital Campus,Enterprise resource planning ERP software,N,N
SunGard Kiodex Risk Workbench,Financial analysis software,N,N
SunGard LockBox,Document management software,N,N
SunGard MicroHedge,Financial analysis software,N,N
SunGard NotiFind,Network operation system software,N,N
SunGard Pentamation IEPplus,Data base user interface and query software,N,N
SunGard PlanningStation,Financial analysis software,N,N
SunGard Public Sector IFAS,Enterprise resource planning ERP software,N,N
SunGard WebPlaid,Financial analysis software,N,N
Sunflow Render System,Graphics or photo imaging software,N,N
Sungard Assurance,Enterprise resource planning ERP software,N,N
Sungard Higher Education PowerFAIDS,Data base user interface and query software,N,N
Sungard Relius,Financial analysis software,N,N
Sunquest Information Systems Sunquest Clinical Financials,Accounting software,N,N
Sunquest Information Systems Sunquest CoPathPlus,Medical software,N,N
Sunquest Information Systems Sunquest Collection Manager,Medical software,N,N
Sunquest Information Systems Sunquest Laboratory,Medical software,N,N
Sunquest Information Systems Sunquest Transfusion Manager,Medical software,N,N
Sunrise Software CropSave,Analytical or scientific software,N,N
SuperANOVA,Analytical or scientific software,N,N
Supervisory control and data acquisition SCADA software,Industrial control software,N,N
Supply chain capacity planning software,Materials requirements planning logistics and supply chain software,N,N
Supply chain event management software,Materials requirements planning logistics and supply chain software,N,N
Supply documentation software,Medical software,N,N
Supply inventory software,Inventory management software,N,N
Supply ordering software,Procurement software,N,N
Supply system software,Inventory management software,N,N
Sure Will Writer,Desktop publishing software,N,N
SureQuest Systems Square 1,Medical software,N,N
Surface III,Map creation software,N,N
Surface modeling software,Analytical or scientific software,N,N
Surface water modeling system SMS software,Analytical or scientific software,N,N
Surgery workflow communication software,Medical software,N,N
Surpass management system software,Library software,N,N
Survey Sense,Human resources software,N,N
Survey software,Analytical or scientific software,N,N
SurveyWiz,Web page creation and editing software,N,N
Sustainable Management Approaches and Revitalization Tools SMARTe,Analytical or scientific software,N,N
Swan River Estimiser Pro,Analytical or scientific software,N,N
Swan River Software Estimiser Pro,Project management software,N,N
SwarMala,Music or sound editing software,N,N
Sweep analysis software,Analytical or scientific software,N,N
SweetWARE SmallPICS,Enterprise resource planning ERP software,N,N
SweetWARE nutraCoster,Analytical or scientific software,N,N
SweetWARE nutraCoster Professional,Analytical or scientific software,N,N
SweetWARE stockCoster,Inventory management software,N,N
Swift,Object or component oriented development software,Y,N
Swisslog WarehouseManager,Materials requirements planning logistics and supply chain software,N,N
Switch software,Switch or router software,N,N
Sword Achiever Compliance Portal Dashboard,Compliance software,N,N
SyMetric Sciences SyMetric,Data base user interface and query software,N,N
SyberWorks Training Center,Computer based training software,N,N
Syborg Systems MicroTec,Analytical or scientific software,N,N
Sycle practice management software,Medical software,N,N
Sylvan Software Complete Medical Pharmaceutical Spell Checker,Spell checkers,N,N
